090004000349;60/40;
090004000351;40/25;
090004000352;15;
090004000354;40/25;
090004000356;15;
090004000458;60;
090004017091;25;
090004017092;40;
090004017093;0;
090004017094;0;
090004017095;15;
090004017096;25;
090004017097;40;
090004017098;15;
090004017099;60;
090004017100;40;
090004017101;25;
090004017102;40;
090004017103;25;
090004017104;15;
090004017105;60/40;
090004017106;40/25;
090004017107;25/15;
090004017108;15/0;
090004017124;40;
090004017125;40/25;
090004017126;60/40;
090004017127;15;
090004017129;40/25;
090004017130;15;
090004017134;40;
